#
# Transition date estimate for sevilletashrub
#
# Site: sevilletashrub
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 1day
# Year min: 2015
# Year max: 2025
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:14:20
# Spline RMSE gcc_mean: 0.00093
# Spline RMSE gcc_50: 0.00097
# Spline RMSE gcc_75: 0.00096
# Spline RMSE gcc_90: 0.00107
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
sevilletashrub,GR,1000,falling,gcc_75,2016-10-09,2016-10-03,2016-09-24,2016-10-11,2016-10-04,2016-09-26,2016-10-08,2016-10-01,2016-09-23,0.35004,0.35237,0.35669,0.34864,0.36396
sevilletashrub,GR,1000,falling,gcc_75,2015-09-24,2015-09-18,2015-09-12,2015-09-26,2015-09-19,2015-09-13,2015-09-22,2015-09-17,2015-09-11,0.35192,0.35515,0.36129,0.34979,0.37149
sevilletashrub,GR,1000,falling,gcc_50,2024-09-17,2024-09-04,2024-08-24,2024-09-19,2024-09-05,2024-08-26,2024-09-14,2024-09-03,2024-08-23,0.3497,0.35387,0.36107,0.34715,0.3741
sevilletashrub,GR,1000,falling,gcc_50,2023-10-10,2023-10-06,2023-09-29,2023-10-11,2023-10-07,2023-10-01,2023-10-08,2023-10-04,2023-09-28,0.34609,0.34876,0.35526,0.3443,0.36471
sevilletashrub,GR,1000,falling,gcc_50,2022-10-23,2022-10-01,2022-09-18,2022-10-25,2022-10-03,2022-09-20,2022-10-20,2022-09-28,2022-09-17,0.34813,0.35117,0.35664,0.34644,0.36582
sevilletashrub,GR,1000,falling,gcc_50,2021-10-15,2021-09-23,2021-09-13,2021-10-17,2021-09-24,2021-09-14,2021-10-12,2021-09-21,2021-09-12,0.34705,0.35181,0.35975,0.3441,0.37534
sevilletashrub,GR,1000,falling,gcc_50,2020-09-27,2020-09-10,2020-08-27,2020-09-28,2020-09-11,2020-08-28,2020-09-22,2020-09-05,2020-08-26,0.34619,0.34793,0.35104,0.34516,0.35662
sevilletashrub,GR,1000,falling,gcc_50,2017-10-25,2017-09-12,2017-09-02,2017-10-27,2017-09-13,2017-09-04,2017-10-23,2017-09-11,2017-09-01,0.35069,0.35453,0.3611,0.34829,0.37342
sevilletashrub,GR,1000,falling,gcc_50,2016-10-08,2016-10-03,2016-09-24,2016-10-10,2016-10-04,2016-09-26,2016-10-07,2016-10-01,2016-09-23,0.34955,0.35156,0.35582,0.34812,0.36294
sevilletashrub,GR,1000,falling,gcc_50,2015-09-25,2015-09-19,2015-09-12,2015-09-26,2015-09-20,2015-09-13,2015-09-23,2015-09-17,2015-09-11,0.35085,0.35375,0.36065,0.34904,0.37021
sevilletashrub,GR,1000,falling,gcc_mean,2024-09-18,2024-09-05,2024-08-24,2024-09-20,2024-09-06,2024-08-26,2024-09-15,2024-09-03,2024-08-23,0.34979,0.3537,0.36131,0.34717,0.3743
sevilletashrub,GR,1000,falling,gcc_mean,2023-10-10,2023-10-06,2023-09-29,2023-10-11,2023-10-07,2023-09-30,2023-10-08,2023-10-04,2023-09-28,0.34612,0.34884,0.35531,0.34441,0.36501
sevilletashrub,GR,1000,falling,gcc_mean,2022-10-23,2022-10-01,2022-09-18,2022-10-25,2022-10-04,2022-09-20,2022-10-20,2022-09-28,2022-09-17,0.34829,0.35129,0.35674,0.34648,0.36599
sevilletashrub,GR,1000,falling,gcc_mean,2021-10-14,2021-09-23,2021-09-12,2021-10-16,2021-09-24,2021-09-14,2021-10-11,2021-09-21,2021-09-11,0.34744,0.35198,0.36128,0.34449,0.37542
sevilletashrub,GR,1000,falling,gcc_mean,2020-09-27,2020-09-12,2020-08-28,2020-09-28,2020-09-13,2020-08-29,2020-09-23,2020-09-07,2020-08-27,0.34619,0.34788,0.35073,0.34515,0.35629
sevilletashrub,GR,1000,falling,gcc_mean,2017-10-26,2017-09-13,2017-09-02,2017-10-27,2017-09-14,2017-09-04,2017-10-23,2017-09-12,2017-09-01,0.35032,0.35402,0.36107,0.34794,0.37369
sevilletashrub,GR,1000,falling,gcc_mean,2016-10-08,2016-10-02,2016-09-24,2016-10-09,2016-10-03,2016-09-26,2016-10-07,2016-09-30,2016-09-23,0.34933,0.35178,0.35568,0.34811,0.36303
sevilletashrub,GR,1000,falling,gcc_mean,2015-09-24,2015-09-19,2015-09-12,2015-09-26,2015-09-20,2015-09-13,2015-09-22,2015-09-17,2015-09-11,0.35117,0.35368,0.3606,0.34909,0.37034
