#
# Transition date estimate for tworfaa
#
# Site: tworfaa
# Veg Type: AG
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2018
# Year max: 2023
# Final Processing Date: 2025-10-02
# Final Processing Time: 00:16:32
# Spline RMSE gcc_mean: 0.00408
# Spline RMSE gcc_50: 0.00447
# Spline RMSE gcc_75: 0.0041
# Spline RMSE gcc_90: 0.00424
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
tworfaa,AG,1000,falling,gcc_75,2019-03-28,2019-03-25,2019-03-20,2019-03-29,2019-03-26,2019-03-22,2019-03-26,2019-03-23,2019-03-19,0.34113,0.35599,0.3922,0.33265,0.44036
tworfaa,AG,1000,falling,gcc_75,2018-06-28,2018-06-25,2018-06-16,2018-06-29,2018-06-26,2018-06-19,2018-06-26,2018-06-23,2018-06-14,0.34714,0.36034,0.39,0.3392,0.43783
tworfaa,AG,1000,falling,gcc_50,2023-03-15,2023-03-13,2023-03-08,2023-03-17,2023-03-14,2023-03-10,2023-03-13,2023-03-11,2023-03-07,0.34308,0.35071,0.37676,0.33623,0.41061
tworfaa,AG,1000,falling,gcc_50,2022-06-30,2022-06-27,2022-06-20,2022-07-01,2022-06-28,2022-06-22,2022-06-29,2022-06-25,2022-06-19,0.33153,0.34559,0.38147,0.32044,0.43613
tworfaa,AG,1000,falling,gcc_50,2021-09-19,2021-09-17,2021-09-12,2021-09-21,2021-09-18,2021-09-14,2021-09-17,2021-09-15,2021-09-10,0.34535,0.3516,0.36951,0.33952,0.39941
tworfaa,AG,1000,falling,gcc_50,2021-03-16,2021-03-13,2021-03-10,2021-03-17,2021-03-14,2021-03-11,2021-03-14,2021-03-12,2021-03-09,0.32958,0.3472,0.37327,0.32352,0.41838
tworfaa,AG,1000,falling,gcc_50,2020-07-13,2020-07-08,2020-07-02,2020-07-16,2020-07-10,2020-07-04,2020-07-10,2020-07-06,2020-07-01,0.34298,0.35543,0.37748,0.33519,0.41775
tworfaa,AG,1000,falling,gcc_50,2019-08-04,2019-08-02,2019-07-27,2019-08-06,2019-08-03,2019-07-29,2019-08-02,2019-07-31,2019-07-26,0.3459,0.35284,0.37714,0.33953,0.40762
tworfaa,AG,1000,falling,gcc_50,2019-03-28,2019-03-25,2019-03-20,2019-03-29,2019-03-26,2019-03-22,2019-03-26,2019-03-23,2019-03-19,0.3379,0.353,0.39015,0.32964,0.4384
tworfaa,AG,1000,falling,gcc_50,2018-06-27,2018-06-24,2018-06-15,2018-06-29,2018-06-25,2018-06-18,2018-06-26,2018-06-22,2018-06-12,0.34735,0.36125,0.38647,0.33788,0.43437
tworfaa,AG,1000,falling,gcc_mean,2023-03-15,2023-03-13,2023-03-08,2023-03-17,2023-03-14,2023-03-10,2023-03-13,2023-03-11,2023-03-07,0.34267,0.35042,0.37714,0.336,0.41102
tworfaa,AG,1000,falling,gcc_mean,2022-06-30,2022-06-27,2022-06-20,2022-07-01,2022-06-28,2022-06-22,2022-06-28,2022-06-25,2022-06-19,0.33222,0.34654,0.38178,0.32249,0.43557
tworfaa,AG,1000,falling,gcc_mean,2021-09-19,2021-09-17,2021-09-11,2021-09-21,2021-09-18,2021-09-14,2021-09-17,2021-09-15,2021-09-10,0.34544,0.35167,0.37248,0.33967,0.40043
tworfaa,AG,1000,falling,gcc_mean,2021-03-16,2021-03-14,2021-03-10,2021-03-17,2021-03-15,2021-03-11,2021-03-14,2021-03-12,2021-03-09,0.33101,0.34069,0.37353,0.3248,0.41654
tworfaa,AG,1000,falling,gcc_mean,2020-07-13,2020-07-08,2020-07-02,2020-07-16,2020-07-10,2020-07-04,2020-07-10,2020-07-06,2020-07-01,0.3434,0.35593,0.37796,0.33551,0.41768
tworfaa,AG,1000,falling,gcc_mean,2019-08-04,2019-08-02,2019-07-27,2019-08-06,2019-08-03,2019-07-29,2019-08-02,2019-07-31,2019-07-26,0.34594,0.35278,0.37674,0.33969,0.40771
tworfaa,AG,1000,falling,gcc_mean,2019-03-27,2019-03-24,2019-03-19,2019-03-28,2019-03-25,2019-03-21,2019-03-25,2019-03-23,2019-03-18,0.33999,0.35644,0.39273,0.33101,0.43713
tworfaa,AG,1000,falling,gcc_mean,2018-06-27,2018-06-24,2018-06-15,2018-06-29,2018-06-25,2018-06-18,2018-06-26,2018-06-22,2018-06-13,0.3475,0.36132,0.38768,0.33807,0.43435
